Date,Open,High,Low,Close
2020-01-17,60.7,66.23,60.7,63.54
2020-02-03,44.09,45.06,41.92,43.21
2020-02-04,42.74,46.68,41.95,44.29
2020-02-05,44.25,44.56,31.63,33.69
2020-02-06,33.69,35.0,27.99,29.59
2020-02-07,29.59,29.59,24.99,25.43
2020-02-08,25.44,28.75,23.86,25.4
2020-02-09,25.41,25.42,22.73,23.71
2020-02-10,23.68,27.34,23.35,25.56
2020-02-11,25.59,27.25,19.94,20.5
2020-02-12,20.38,20.45,12.0,13.5
2020-02-13,13.51,14.8,11.6,13.21
2020-02-14,13.19,14.47,10.41,10.76
2020-02-15,10.76,13.59,10.33,13.17
2020-02-16,13.18,16.1,11.84,14.05
2020-02-17,13.95,16.8,12.65,12.75
2020-02-18,12.75,13.98,10.24,10.47
2020-02-19,10.47,13.37,10.28,13.33
2020-02-20,13.33,14.97,12.45,13.4
2020-02-21,13.45,13.95,11.73,12.27
2020-02-22,12.22,13.45,12.0,12.76
2020-02-23,12.75,12.8,10.78,10.89
2020-02-24,10.92,13.02,10.53,12.09
2020-02-25,12.09,14.88,12.0,14.66
2020-02-26,14.7,20.37,14.05,18.86
2020-02-27,18.87,22.24,14.99,17.1
2020-02-28,17.1,20.29,15.36,17.21
2020-02-29,17.21,19.6,15.81,19.55
2020-03-01,19.51,21.12,16.91,19.64
2020-03-02,19.67,20.11,15.16,15.73
2020-03-03,15.71,18.06,15.54,17.3
2020-03-04,17.3,18.04,16.24,17.26
2020-03-05,17.27,17.27,15.03,16.4
2020-03-06,16.39,16.58,12.65,12.75
2020-03-07,12.75,14.2,11.67,14.06
2020-03-08,14.06,21.45,14.06,21.0
2020-03-09,21.0,24.2,18.31,20.49
2020-03-10,20.49,22.65,19.34,21.25
2020-03-11,21.27,27.41,20.47,23.18
2020-03-12,23.19,56.98,22.8,52.61
2020-03-13,52.0,89.84,17.5,23.13
2020-03-14,23.13,30.56,22.78,29.54
2020-03-15,29.55,31.37,21.6,27.35
2020-03-16,27.34,43.13,26.52,35.66
2020-03-17,35.66,37.04,26.0,28.5
2020-03-18,28.5,33.71,27.3,27.5
2020-03-19,27.5,29.2,14.0,16.26
2020-03-20,16.26,20.29,11.0,16.07
2020-03-21,16.1,18.65,14.25,15.98
2020-03-22,16.0,20.03,14.45,19.75
2020-03-23,19.8,20.9,12.5,13.11
2020-03-24,13.11,14.0,10.81,12.25
2020-03-25,12.29,13.97,11.2,12.96
2020-03-26,12.93,13.65,11.71,12.11
2020-03-27,12.13,14.3,11.3,13.99
2020-03-28,13.99,16.0,13.06,13.7
2020-03-29,13.74,15.72,13.3,15.6
2020-03-30,15.67,15.75,11.58,12.43
2020-03-31,12.43,12.9,11.92,12.2
