Date,Open,High,Low,Close
2021-01-19,0.2466,0.385,0.2466,0.2751
2021-01-20,0.2772,0.2893,0.2358,0.271
2021-01-21,0.2697,0.2803,0.22,0.2315
2021-01-22,0.2315,0.246,0.2014,0.2373
2021-01-23,0.2372,0.2446,0.2186,0.2263
2021-01-24,0.2264,0.2592,0.2181,0.2514
2021-01-25,0.2513,0.27,0.233,0.2381
2021-01-26,0.238,0.2497,0.2165,0.2361
2021-01-27,0.2362,0.2362,0.2058,0.216
2021-01-28,0.2154,0.246,0.2101,0.2271
2021-01-29,0.2272,0.2425,0.2182,0.2316
2021-01-30,0.2308,0.237,0.2204,0.2292
2021-01-31,0.2296,0.2685,0.2272,0.2493
2021-02-01,0.2489,0.2489,0.2206,0.2332
2021-02-02,0.233,0.271,0.2302,0.2619
2021-02-03,0.2612,0.2959,0.2514,0.2891
2021-02-04,0.2891,0.292,0.2514,0.269
2021-02-05,0.2686,0.3226,0.2665,0.3016
2021-02-06,0.3018,0.328,0.282,0.3154
2021-02-07,0.3154,0.3599,0.289,0.3128
2021-02-08,0.3128,0.4176,0.3115,0.3853
2021-02-09,0.3878,0.4412,0.3669,0.39
2021-02-10,0.3903,0.4655,0.3698,0.3941
2021-02-11,0.3941,0.468,0.3844,0.4406
2021-02-12,0.4403,0.5333,0.4302,0.5263
2021-02-13,0.5295,0.6335,0.5225,0.5565
2021-02-14,0.5596,0.5617,0.4583,0.4958
2021-02-15,0.4958,0.5,0.4,0.4622
2021-02-16,0.4649,0.49,0.4353,0.448
2021-02-17,0.4482,0.4664,0.4242,0.4633
2021-02-18,0.4634,0.5399,0.46,0.5167
2021-02-19,0.5167,0.5206,0.4459,0.4556
2021-02-20,0.4561,0.4647,0.3853,0.3956
2021-02-21,0.3957,0.44,0.392,0.4202
2021-02-22,0.4205,0.439,0.3356,0.38
2021-02-23,0.38,0.399,0.2934,0.3214
2021-02-24,0.3214,0.3622,0.3105,0.3236
2021-02-25,0.3231,0.341,0.2877,0.2917
2021-02-26,0.2926,0.3158,0.2664,0.2875
2021-02-27,0.2875,0.313,0.2801,0.2876
2021-02-28,0.2866,0.3014,0.254,0.2731
2021-03-01,0.2739,0.38,0.2739,0.3449
2021-03-02,0.3446,0.3562,0.306,0.3209
2021-03-03,0.3209,0.3595,0.3163,0.3241
2021-03-04,0.3241,0.3491,0.312,0.3194
2021-03-05,0.3196,0.3438,0.298,0.3378
2021-03-06,0.3386,0.344,0.309,0.34
2021-03-07,0.3379,0.385,0.3299,0.3713
2021-03-08,0.3707,0.3853,0.3383,0.3844
2021-03-09,0.3844,0.399,0.367,0.3876
2021-03-10,0.3864,0.39,0.3507,0.3541
2021-03-11,0.3544,0.3696,0.3304,0.3562
2021-03-12,0.3566,0.418,0.3553,0.3947
2021-03-13,0.3947,0.4684,0.3859,0.4405
2021-03-14,0.44,0.4448,0.399,0.4252
2021-03-15,0.4252,0.448,0.3782,0.3924
2021-03-16,0.3935,0.483,0.3668,0.4613
2021-03-17,0.4612,0.465,0.413,0.4502
2021-03-18,0.4519,0.4595,0.4176,0.4318
2021-03-19,0.4318,0.4723,0.4178,0.4568
2021-03-20,0.4563,0.4799,0.442,0.4426
2021-03-21,0.4427,0.443,0.4047,0.4156
2021-03-22,0.415,0.4334,0.373,0.3918
2021-03-23,0.3919,0.4053,0.3517,0.3901
2021-03-24,0.3902,0.45,0.3642,0.3809
