Date,Open,High,Low,Close
2020-08-21,0.5397,0.5397,0.401,0.4314
2020-08-22,0.4317,0.4987,0.412,0.4712
2020-08-23,0.469,0.494,0.4523,0.4821
2020-08-24,0.4821,0.5334,0.4792,0.5315
2020-08-25,0.5323,0.5324,0.4478,0.4619
2020-08-26,0.4619,0.4983,0.4603,0.498
2020-08-27,0.4983,0.5182,0.4701,0.5046
2020-08-28,0.5033,0.57,0.5017,0.5662
2020-08-29,0.5662,0.5691,0.5165,0.538
2020-08-30,0.538,0.563,0.5222,0.5326
2020-08-31,0.5333,0.535,0.5078,0.5097
2020-09-01,0.5105,0.5106,0.4745,0.4808
2020-09-02,0.4806,0.4814,0.4185,0.4428
2020-09-03,0.4428,0.45,0.37,0.3778
2020-09-04,0.3748,0.3813,0.3598,0.3685
2020-09-05,0.3689,0.3777,0.3183,0.3264
2020-09-06,0.3261,0.3363,0.3104,0.3325
2020-09-07,0.3325,0.3378,0.3071,0.3257
2020-09-08,0.3258,0.3287,0.3078,0.3165
2020-09-09,0.3162,0.3291,0.3084,0.3167
2020-09-10,0.3167,0.3868,0.3163,0.3498
2020-09-11,0.3497,0.357,0.3141,0.3384
2020-09-12,0.3383,0.3391,0.318,0.3294
2020-09-13,0.3291,0.3483,0.3001,0.3088
2020-09-14,0.3087,0.3247,0.3061,0.3194
2020-09-15,0.3193,0.355,0.3053,0.335
2020-09-16,0.3345,0.3612,0.3183,0.3206
2020-09-17,0.3202,0.3309,0.31,0.3119
2020-09-18,0.3116,0.3307,0.3089,0.3196
2020-09-19,0.3196,0.3226,0.3058,0.3179
2020-09-20,0.3175,0.325,0.3028,0.3094
2020-09-21,0.3093,0.3161,0.288,0.2884
2020-09-22,0.2891,0.3041,0.2881,0.3003
2020-09-23,0.3005,0.3038,0.2899,0.2909
2020-09-24,0.2909,0.3036,0.2879,0.3029
2020-09-25,0.3034,0.3411,0.2898,0.324
2020-09-26,0.324,0.33,0.31,0.3154
2020-09-27,0.3148,0.3184,0.3093,0.3133
2020-09-28,0.3134,0.3499,0.3134,0.3223
2020-09-29,0.3221,0.3579,0.3218,0.3344
2020-09-30,0.3347,0.3427,0.327,0.3348
2020-10-01,0.3346,0.3402,0.3098,0.3174
2020-10-02,0.3174,0.3395,0.2894,0.3289
2020-10-03,0.3288,0.3324,0.3083,0.3101
2020-10-04,0.31,0.3111,0.2997,0.3013
2020-10-05,0.301,0.3288,0.3002,0.3107
2020-10-06,0.3107,0.3208,0.2911,0.2941
2020-10-07,0.294,0.3045,0.287,0.304
2020-10-08,0.3041,0.305,0.2929,0.301
2020-10-09,0.301,0.3193,0.301,0.3183
2020-10-10,0.3184,0.3206,0.3,0.3082
2020-10-11,0.3081,0.338,0.3024,0.322
2020-10-12,0.322,0.3331,0.3114,0.3274
2020-10-13,0.3274,0.3395,0.3114,0.3171
2020-10-14,0.317,0.3358,0.3166,0.3201
2020-10-15,0.3201,0.3286,0.316,0.3249
2020-10-16,0.3249,0.3255,0.3074,0.319
2020-10-17,0.3187,0.3187,0.314,0.3178
2020-10-18,0.3174,0.3191,0.3116,0.3133
2020-10-19,0.3133,0.3305,0.3092,0.3206
2020-10-20,0.3205,0.3207,0.3072,0.3094
2020-10-21,0.3094,0.3191,0.3074,0.3127
2020-10-22,0.3128,0.3179,0.3104,0.3151
2020-10-23,0.315,0.33,0.3112,0.3163
2020-10-24,0.3163,0.3212,0.3097,0.3118
2020-10-25,0.3115,0.3131,0.3059,0.3081
2020-10-26,0.3076,0.3206,0.2997,0.3047
2020-10-27,0.3044,0.3205,0.3036,0.31
2020-10-28,0.31,0.321,0.304,0.3089
2020-10-29,0.3089,0.3122,0.2999,0.3015
2020-10-30,0.3014,0.31,0.2996,0.3042
2020-10-31,0.3037,0.3105,0.3027,0.3032
2020-11-01,0.3031,0.3043,0.298,0.3003
2020-11-02,0.3005,0.3025,0.2848,0.2866
2020-11-03,0.2865,0.2913,0.2733,0.2906
2020-11-04,0.2907,0.2913,0.2786,0.2846
2020-11-05,0.2849,0.295,0.2806,0.2949
2020-11-06,0.2953,0.308,0.294,0.3063
2020-11-07,0.3063,0.3133,0.2899,0.2912
2020-11-08,0.2912,0.3081,0.291,0.3036
2020-11-09,0.3035,0.3062,0.2962,0.2978
2020-11-10,0.2976,0.3114,0.2935,0.3086
2020-11-11,0.3088,0.336,0.3085,0.3202
2020-11-12,0.3207,0.3275,0.3079,0.3173
2020-11-13,0.3172,0.3285,0.3145,0.3193
2020-11-14,0.3193,0.3203,0.3033,0.3053
2020-11-15,0.3053,0.3124,0.2944,0.3078
2020-11-16,0.3077,0.3182,0.2923,0.3125
2020-11-17,0.313,0.3293,0.3088,0.3123
2020-11-18,0.312,0.3234,0.3052,0.3163
2020-11-19,0.3161,0.3307,0.3133,0.3237
2020-11-20,0.3238,0.36,0.3231,0.3436
2020-11-21,0.3435,0.3522,0.3371,0.3477
2020-11-22,0.3477,0.38,0.3361,0.3492
2020-11-23,0.3492,0.4036,0.3426,0.3795
2020-11-24,0.3795,0.4261,0.3706,0.4131
2020-11-25,0.4131,0.4329,0.3911,0.4063
2020-11-26,0.4063,0.4073,0.3382,0.3489
2020-11-27,0.349,0.4077,0.3479,0.3832
